City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
317,ponta delgada,0,PT,1525322842,100,37.73,-25.67,58.89,10.09
318,christchurch,36,NZ,1525322700,97,-43.53,172.64,53.58,4.72
319,pascagoula,0,US,1525323219,93,30.37,-88.56,67.44,4.83
320,hokitika,80,NZ,1525323219,100,-42.72,170.96,55.83,1.36
321,ostrovnoy,0,RU,1525323220,95,68.05,39.51,25.23,3.31
322,urkarakh,0,RU,1525323220,56,42.16,47.63,55.74,1.19
323,gravdal,92,NO,1525323220,100,59.79,5.78,36.93,3.27
324,hambantota,0,LK,1525322796,88,6.12,81.12,88.68,8.08
325,sadiqabad,0,PK,1525323097,31,28.31,70.13,96.87,18.03
326,paracuru,64,BR,1525323221,96,-3.41,-39.03,76.44,3.76
327,scituate,8,US,1525323221,39,41.79,-71.61,70.77,7.85
328,nyurba,24,RU,1525322835,48,63.29,118.35,53.4,8.08
329,havre,56,US,1525323222,49,48.55,-109.68,51.24,8.34
330,tortoli,92,IT,1525323222,100,39.93,9.66,56.01,13.04
331,la ronge,24,CA,1525322931,93,55.1,-105.3,46.47,4.83
332,dali,36,CN,1525322864,87,25.6,100.24,62.58,2.71
333,ranot,24,TH,1525323223,72,7.78,100.32,90.03,9.64
334,svetlogorsk,20,RU,1525322741,94,53.14,59.15,53.58,4.38
335,palivere,48,EE,1525323223,78,58.97,23.89,47.91,4.54
336,ornskoldsvik,48,SE,1525322782,94,63.29,18.72,37.11,1.3
337,mokrousovo,0,RU,1525323224,64,55.81,66.77,53.94,12.15
338,norrtalje,20,SE,1525323224,69,59.76,18.7,48.09,3.83
339,cayenne,92,GF,1525322858,91,4.94,-52.33,78.33,7.56
340,totma,92,RU,1525323225,97,59.98,42.76,52.05,12.37
341,kungurtug,92,RU,1525323225,45,50.6,97.53,45.75,11.92
342,kathmandu,20,NP,1525323003,84,27.71,85.32,71.94,1.97
343,tateyama,0,JP,1525323226,72,36.66,137.31,54.21,6.22
344,qinhuangdao,8,CN,1525323226,23,39.94,119.59,66.09,11.36
345,miri,0,NG,1525323226,88,10.31,9.75,74.01,5.61
346,provideniya,8,RU,1525322803,100,64.42,-173.23,26.58,2.75
347,fukuma,0,JP,1525323227,84,33.77,130.47,61.14,19.04
348,cap malheureux,56,MU,1525323227,100,-19.98,57.61,78.06,19.15
349,gamba,12,CN,1525323228,93,28.28,88.52,31.8,3.31
350,tahe,0,CN,1525323228,32,52.34,124.71,60.15,3.49
351,araceli,64,PH,1525323228,100,10.55,119.99,80.31,8.01
352,guanare,64,VE,1525323229,94,9.04,-69.74,70.05,3.04
353,novoagansk,64,RU,1525323229,59,61.94,76.66,22.8,6.62
354,tabou,24,CI,1525322915,100,4.42,-7.36,82.56,9.08
355,mongo,48,CF,1525323230,86,4.83,22.92,74.37,4.99
356,grande prairie,68,CA,1525323230,50,55.17,-118.79,47.37,12.26
357,mahibadhoo,76,MV,1525322885,95,3.78,72.97,86.52,9.57
358,ibra,0,OM,1525323231,23,22.69,58.55,96.33,3.49
359,saint anthony,36,US,1525322818,69,43.97,-111.68,37.2,4.05
360,mastic beach,0,US,1525323231,73,40.77,-72.85,55.02,17.58
361,tacoaleche,92,MX,1525323232,53,22.82,-102.4,63.48,10.87
362,belebey,44,RU,1525323232,84,54.12,54.12,63.21,10.54
363,davila,0,PH,1525323233,80,18.47,120.58,88.14,14.79
364,soure,0,PT,1525323233,85,40.06,-8.63,40.98,2.08
365,nichinan,0,JP,1525323233,91,31.65,131.31,66.09,13.56
366,pastavy,0,BY,1525323234,73,55.11,26.84,58.53,7.29
367,kalabo,80,ZM,1525323234,45,-15.0,22.67,64.74,9.35
368,riachao das neves,32,BR,1525323234,89,-11.75,-44.91,67.89,3.27
369,brae,64,GB,1525322860,96,60.4,-1.35,45.3,15.39
370,ahipara,0,NZ,1525322750,83,-35.17,173.16,61.14,10.8
371,batangafo,8,CF,1525323235,87,7.3,18.29,73.65,10.87
372,ashqelon,32,IL,1525323235,47,31.67,34.57,82.38,4.72
373,tigil,0,RU,1525323235,85,57.8,158.67,34.32,13.78
374,lata,24,IN,1525323236,100,30.78,78.62,57.09,1.81
375,paamiut,76,GL,1525322819,100,61.99,-49.67,26.22,6.62
376,balkhash,0,KZ,1525323236,100,46.84,74.98,49.98,8.86
377,cidreira,68,BR,1525322757,87,-30.17,-50.22,70.14,13.04
378,stephenville,92,US,1525323237,78,32.22,-98.2,73.11,13.27
379,labuan,80,BN,1525323128,98,5.28,115.24,85.08,5.06
